**** DÉBUT DU JOURNAL À Tue May  1 18:29:18 2007

mai 01 18:30:13 *	tiav est parti (Success)
sep 20 18:21:11 <jaroug>	t'as une sacrée tete de pine yom
sep 20 18:21:26 <yom>	et encore t'as pas vu ma bite
sep 20 18:21:58 <jaroug>	la pauvre :(
sep 20 18:22:27 <jaroug>	http://farm2.static.flickr.com/1184/1400133769_b921d117dc_o.jpg
sep 20 18:23:57 <jaroug>	http://www.ismybabygay.com/
sep 20 18:24:16 *	TaLi`aw est parti (Read error: 104 (Connection reset by peer))
sep 20 18:24:29 <yom>	:D
sep 20 18:24:52 <raph_ael>	:)
sep 20 18:29:39 *	jazz est parti ("Quitte")
sep 20 18:33:25 *	yoan est parti ()
sep 20 18:40:10 <yom>	raph_ael: http://mgl.skyrock.com/big.12975719.jpg?6462580 <- tu crois qu'elle essaie d'attraper quelque chose ?
sep 20 18:40:50 <raph_ael>	dieu que c moche
sep 20 18:40:52 <yom>	http://mgl.skyrock.com/big.3824218.jpg?6462580
sep 20 18:40:54 <yom>	la meme
sep 20 18:41:00 <yom>	http://mgl.skyrock.com/big.12975527.jpg?6462580
sep 20 18:41:01 <yom>	la meme
sep 20 18:41:09 <raph_ael>	on a l'impression qu'elle s'est colle les levres a une vitre
sep 20 18:41:11 <yom>	elle fait ksa la meuf
sep 20 18:41:17 <yom>	krkrkr
sep 20 18:41:36 <raph_ael>	on dirait presque un fake
sep 20 18:41:40 <raph_ael>	c lmime marceau
sep 20 18:41:50 <Gniarf>	on a dit une VitRe
sep 20 18:41:54 <jaroug>	areter
sep 20 18:41:57 <raph_ael>	"hey regardez je mime une carpe"
sep 20 18:41:57 <jaroug>	arreter
sep 20 18:41:59 <yom>	ARETER
sep 20 18:42:02 <yom>	ALETER PIRATE
sep 20 18:42:05 <jaroug>	si ca se trouve elle est née comme ca
sep 20 18:42:15 <yom>	ah ben faut lui demander immediatement
sep 20 18:42:17 <raph_ael>	elle est panee ouais
sep 20 18:42:19 <raph_ael>	comme le poisson
sep 20 18:44:33 <jaroug>	yom: oui demande
sep 20 18:44:57 <raph_ael>	yom: url du com
sep 20 18:45:23 <yom>	on peut pas lui en laisser
sep 20 18:45:35 <yom>	bah tu parles elle a deja tellement du se faire gazer
sep 20 18:45:44 <yom>	forcement elle a desactive le bordel direk
sep 20 18:45:54 <yom>	bon jpourrais les lui reactiver mais ce serait salaud
sep 20 18:45:59 <raph_ael>	:))
sep 20 18:46:23 *	Cygaal (n=cygal@77.84.23.19) a rejoint #debian-fr
sep 20 18:47:41 <jaroug>	haha
sep 20 18:47:44 <jaroug>	allez yom
sep 20 18:47:49 <jaroug>	abuse de ton statut
sep 20 18:51:13 *	yoan (n=yoan@lns-bzn-44-82-249-220-178.adsl.proxad.net) a rejoint #debian-fr
sep 20 18:52:43 *	Theos (n=micky@df01t2-213-44-145-103.d4.club-internet.fr) a rejoint #debian-fr
sep 20 18:59:11 *	Shisui est parti ("Quitte")
sep 20 19:05:10 <yom>	pas le courage, elle pourrait tenter de communiquer
sep 20 19:08:51 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
sep 20 19:11:22 *	Saelynh est parti (Client Quit)
sep 20 19:16:08 *	Cygaal est parti (Read error: 110 (Connection timed out))
sep 20 19:17:37 *	drjnut est parti ("Quitte")
sep 20 19:18:32 *	EtAlors (n=bad@gob75-7-82-247-115-200.fbx.proxad.net) a rejoint #debian-fr
sep 20 19:19:03 *	nuxien (n=nuxien@77.200.79.110) a rejoint #debian-fr
sep 20 19:19:42 *	Cygaal (n=cygal@77.84.23.19) a rejoint #debian-fr
sep 20 19:32:26 *	_gpg_ (n=_gpg_@82.65.95.180) a rejoint #debian-fr
**** DÉBUT DU JOURNAL À Sat Sep 22 11:20:23 2007

sep 22 11:20:23 *	Vous parlez maintenant sur #debian-fr
sep 22 11:20:23 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, ni d'entraide, si t'as besoin d'aide, demande à ta maman, sinon #debian-fr@oftc ou #debianfr || Merci de parler correctement francais : pas de sms, lol et autres kikoo.
sep 22 11:20:23 *	Sujet de #debian-fr défini par kolter le Fri Sep 14 21:05:57 2007
sep 22 11:24:22 *	UniXoiDe (n=UniXoiDe@41.226.243.166) a rejoint #debian-fr
sep 22 11:29:39 *	yoan (n=yoan@lns-bzn-52-82-65-102-136.adsl.proxad.net) a rejoint #debian-fr
sep 22 11:30:40 *	gaero (n=theo@unaffiliated/balkantools) a rejoint #debian-fr
sep 22 11:44:40 <ptitlouis>	bon, j'ai pas reussi a atteindre les 200 commentaires avec mon^Wle journal de ciol
sep 22 11:44:42 <ptitlouis>	snif
sep 22 12:03:09 <arnaud_>	on peut feeder le troll
sep 22 12:10:28 *	Alex_Calibur (n=Alex_Cal@sal63-1-82-243-97-55.fbx.proxad.net) a rejoint #debian-fr
sep 22 12:16:08 *	yoan est parti (Read error: 104 (Connection reset by peer))
sep 22 12:16:49 *	yoan (n=yoan@82.249.195.170) a rejoint #debian-fr
sep 22 12:25:37 *	Ekinoks (n=ekinoks@77.196.146.137) a rejoint #debian-fr
sep 22 12:26:45 *	Gimliiii8 (i=rrtt@gateway/tor/x-1867a3d6c5f5ad32) a rejoint #debian-fr
sep 22 12:35:54 *	valombre (n=valombre@238.233-246-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
sep 22 12:38:20 *	sputnick (n=sputnick@pla93-1-82-67-251-41.fbx.proxad.net) a rejoint #debian-fr
sep 22 12:41:33 *	Alex_Calibur est parti ("KVIrc 3.2.0 'Realia'")
sep 22 12:45:29 *	kutio (n=kutio@vig38-1-82-67-76-10.fbx.proxad.net) a rejoint #debian-fr
sep 22 12:54:26 *	florent est parti (Read error: 104 (Connection reset by peer))
sep 22 12:57:37 *	florent (n=florent@pluton.sarcelle.net) a rejoint #debian-fr
sep 22 13:04:06 *	virtuoso (n=s0t0na@ppp91-122-103-236.pppoe.avangard-dsl.ru) a rejoint #debian-fr
sep 22 13:05:17 *	virtuoso (n=s0t0na@ppp91-122-103-236.pppoe.avangard-dsl.ru) a quitté #debian-fr
sep 22 13:16:44 <ptitlouis>	ahhh mais faut que je vous mette les logs d'hier soir de bemawi
sep 22 13:18:23 *	Yoda-BZH (i=yoda@elonia.yoda-bzh.net) a rejoint #debian-fr
sep 22 13:21:23 <ptitlouis>	http://kaoru.asyd.net/~ptitlouis/bemawi.log
sep 22 13:22:25 *	Laifen est parti (Read error: 104 (Connection reset by peer))
sep 22 13:23:16 *	Laifen (n=xavier@APlessis-Bouchard-153-1-82-192.w86-203.abo.wanadoo.fr) a rejoint #Debian-fr
sep 22 13:23:23 *	Shisui (n=chris@AAmiens-152-1-11-34.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
sep 22 13:28:55 *	yoan est parti ()
sep 22 13:31:30 *	JuLiiieN (n=jul@AVelizy-152-1-30-63.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
sep 22 13:31:37 <kolter>	arf, je crois qu'il t'aime bien
sep 22 13:31:43 <ptitlouis>	:)
sep 22 13:31:53 <ptitlouis>	il est beau hein ?
sep 22 13:34:25 *	tibal (n=tibal@vbo91.hd.free.fr) a rejoint #debian-fr
sep 22 13:36:33 <lambda>	ça pour déverser du vomi, il a vidé une bétonnière
sep 22 13:37:37 <ptitlouis>	:)
sep 22 13:40:31 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
sep 22 13:54:23 *	Shisui est parti ("Quitte")
sep 22 13:57:19 *	JuLiiieN est parti ("Quitte")
sep 22 14:01:52 *	Shisui (n=chris@AAmiens-152-1-7-136.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
sep 22 14:08:36 *	yoan (n=yoan@82.249.195.170) a rejoint #debian-fr
sep 22 14:08:52 *	kutio est parti ("Quitte")
sep 22 14:11:19 *	yoan est parti (Client Quit)
sep 22 14:14:17 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
sep 22 14:14:37 <TrueDD>	Salut à tous
sep 22 14:17:11 *	Shisui` (n=chris@AAmiens-152-1-7-136.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
sep 22 14:17:26 *	gaero est parti ("Le danger n'est pas ce que l'on ignore mais ce que l'on tient pour certain et qui ne l'est pas ...")
sep 22 14:17:53 *	gaero (n=theo@unaffiliated/balkantools) a rejoint #debian-fr
sep 22 14:19:07 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
sep 22 14:27:21 *	twk s'appelle maintenant twk_away
sep 22 14:34:57 *	Shisui est parti (Read error: 110 (Connection timed out))
sep 22 14:35:10 *	kutio (n=kutio@vig38-1-82-67-76-10.fbx.proxad.net) a rejoint #debian-fr
sep 22 14:35:31 *	kutio est parti (Client Quit)
sep 22 14:41:29 *	Superna (n=Superna@www.starnux.net) a rejoint #debian-fr
sep 22 14:51:14 *	kutio (n=kutio@vig38-1-82-67-76-10.fbx.proxad.net) a rejoint #debian-fr
sep 22 15:09:48 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
sep 22 15:19:14 *	yoan (n=yoan@82.249.195.170) a rejoint #debian-fr
sep 22 15:27:36 *	valombre est parti ("leaving")
sep 22 15:28:00 *	valombre (n=valombre@238.233-246-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
sep 22 15:39:35 *	UniXoiDe est parti (Connection timed out)
sep 22 16:06:23 *	yoan est parti ()
sep 22 16:06:51 *	Subdino (n=vincent@ALille-253-1-33-241.w90-7.abo.wanadoo.fr) a rejoint #debian-fr
sep 22 16:06:59 <Subdino>	plop
sep 22 16:11:50 *	yoan (n=yoan@82.249.195.170) a rejoint #debian-fr
sep 22 16:16:31 *	JuLiiieN (n=jul@AVelizy-152-1-30-63.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
sep 22 16:23:45 *	yoan est parti ()
sep 22 16:24:42 *	gillesMo est parti (Remote closed the connection)
sep 22 16:34:30 *	chpo1 (n=chpo@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
sep 22 16:36:45 *	ThArGos (n=thargos@thargos.rdm-team.com) a rejoint #debian-fr
sep 22 16:44:36 *	Cygaal est parti (Remote closed the connection)
sep 22 16:45:50 *	yoan (n=yoan@82.249.195.170) a rejoint #debian-fr
**** DÉBUT DU JOURNAL À Mon Sep 24 20:27:09 2007

sep 24 20:27:09 *	Vous parlez maintenant sur #debian-fr
sep 24 20:27:09 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, ni d'entraide, si t'as besoin d'aide, demande à ta maman, sinon #debian-fr@oftc ou #debianfr || Merci de parler correctement francais : pas de sms, lol et autres kikoo.
sep 24 20:27:09 *	Sujet de #debian-fr défini par kolter le Fri Sep 14 21:05:57 2007
sep 24 20:29:31 *	Gimliiii (i=rrtt@gateway/tor/x-db27c4bd743ba0df) a rejoint #debian-fr
sep 24 20:32:46 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
sep 24 20:33:20 *	Gimliiii est parti (Remote closed the connection)
sep 24 20:44:10 *	JuLiiieN est parti (Read error: 110 (Connection timed out))
sep 24 20:44:57 *	JuLiiieN (n=jul@AVelizy-152-1-100-207.w90-35.abo.wanadoo.fr) a rejoint #debian-fr
sep 24 20:45:52 *	Saelynh est parti ()
sep 24 20:59:18 *	UnMus (n=domi@88-136-183-175.adslgp.cegetel.net) a rejoint #debian-fr
sep 24 21:01:12 *	michael_ (n=michael@AReims-151-1-73-244.w83-198.abo.wanadoo.fr) a rejoint #debian-fr
sep 24 21:01:40 *	mickey08 est parti (Read error: 110 (Connection timed out))
sep 24 21:07:02 <UnMus>	Bonsoir
sep 24 21:08:52 <VaLouille>	bonsoir
sep 24 21:11:18 *	Gimliiii (i=rrtt@gateway/tor/x-44d044226b022823) a rejoint #debian-fr
sep 24 21:14:41 *	Zanton est parti (Remote closed the connection)
sep 24 21:22:12 *	keulin est parti (Remote closed the connection)
sep 24 21:25:38 *	tom_ (n=tom@ASt-Lambert-153-1-120-240.w90-2.abo.wanadoo.fr) a rejoint #debian-fr
sep 24 21:27:10 *	tom_ est parti (Client Quit)
sep 24 21:28:13 *	manx86 s'appelle maintenant man-x86
sep 24 21:32:21 *	JuLiiieN est parti ("Quitte")
sep 24 21:47:33 <TrueDD>	soir UnMus & VaLouille
sep 24 21:48:08 <UnMus>	Buena notte signor TrueDD
sep 24 21:48:40 <TrueDD>	:)
sep 24 21:50:26 <VaLouille>	soir TrueDD
sep 24 21:54:12 <gutts>	jai un probleme de transparence sous conky
sep 24 21:54:25 <gutts>	pourtant jai bien mis les bonnes options
sep 24 21:54:41 <gutts>	quelqu'un a une idee pour forcer la transparence ?
sep 24 21:55:25 <ptitlouis>	fixer le pebcak  ?
sep 24 21:55:51 <gutts>	hmm et tu fais ça comment ?
sep 24 21:56:13 <yom>	tres simplement
sep 24 21:56:24 <ptitlouis>	tape /quit
sep 24 21:56:26 <yom>	tu te leves de ton siege et tu te poses devant la tele
sep 24 21:56:27 <gutts>	surement
sep 24 21:56:31 <yom>	et tu ne reviens *jamais*
sep 24 21:56:33 <gutts>	lol
sep 24 21:56:33 <yom>	allez salut
sep 24 21:56:33 *	kikoolol a expulsé gutts de #debian-fr (Shut up !)
sep 24 21:56:40 <yom>	ca, c'est fait
sep 24 21:56:43 *	gutts (n=gutts@ALyon-252-1-76-180.w83-197.abo.wanadoo.fr) a rejoint #debian-fr
sep 24 21:56:49 <ptitlouis>	raté
sep 24 21:57:00 <yom>	sa daronne squatte le fauteuil a mon humble imho
sep 24 21:57:09 <gutts>	oué
sep 24 21:59:25 *	Laifen est parti ("Bonsoir")
sep 24 22:02:12 *	gutts est parti (Remote closed the connection)
sep 24 22:06:03 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
sep 24 22:06:39 <pikapika>	yo
sep 24 22:06:58 <Nothing>	hmm
sep 24 22:07:09 <Nothing>	y a quoi comme équivalent de pdfcreator, sous linux ?
sep 24 22:07:16 <pikapika>	openoffice
sep 24 22:08:10 *	Nanthrax est parti (Read error: 104 (Connection reset by peer))
sep 24 22:08:23 <Nothing>	merde faut que je dorm
sep 24 22:08:23 <ptitlouis>	ta maman
sep 24 22:08:24 <Nothing>	e
sep 24 22:08:28 *	Nanthrax (n=jb@jbonofre.net1.nerim.net) a rejoint #debian-fr
sep 24 22:08:31 <Nothing>	quelle bille, j'ai pas vu le bouton dans le menu :)
sep 24 22:09:14 *	Sovo (n=bel@195.24.206.14) a rejoint #debian-fr
sep 24 22:09:51 *	Sovo (n=bel@195.24.206.14) a quitté #debian-fr
sep 24 22:11:25 *	UnMus est parti ("Connexion reset by beer")
sep 24 22:11:40 *	Kioob (n=kioob@luuna.daevel.net) a rejoint #Debian-fr
sep 24 22:11:45 <Kioob>	bonsoir
sep 24 22:12:34 *	pikapika est parti ("bllb")
sep 24 22:12:39 *	metalspy (n=metalspy@187.113-224-89.dsl.completel.net) a rejoint #debian-fr
sep 24 22:13:32 *	gutts (n=gutts@ALyon-252-1-76-180.w83-197.abo.wanadoo.fr) a rejoint #debian-fr
sep 24 22:13:35 <Kioob>	je frole le "torticoli" la : y a un moyen "simple" de configurer le dual screen avec deux ecrans en mode portrait ? j'arrive a activer l'un ou l'autre, voir meme le portrait sur un ecran, mais pas les deux :'(
sep 24 22:14:00 <Kioob>	(carte nvidia, drivers proprios, debian etch toute neuve)
sep 24 22:14:05 <yom>	),;
sep 24 22:14:42 *	yom pleure tres fort );
sep 24 22:15:05 <Kioob>	boh, j'ai dit une betise ?
sep 24 22:16:48 *	Kioob n'aurait jamais pensé devoir se servir d'irssi un jour oO
sep 24 22:18:27 *	Sano est parti (Remote closed the connection)
sep 24 22:19:22 *	Kioob est parti ("Lost terminal")
sep 24 22:21:49 *	Kioob (n=kioob@luuna.daevel.net) a rejoint #Debian-fr
sep 24 22:21:52 <Kioob>	re
sep 24 22:22:45 <yom>	re Kioob !!!
sep 24 22:22:53 <yom>	))):
sep 24 22:25:21 *	mi-cha-el est parti ("</irc>")
sep 24 22:31:09 *	thierry_ (n=thierry@ip-62-235-201-75.dsl.scarlet.be) a rejoint #debian-fr
sep 24 22:31:53 *	thierry_ est parti ("Quitte")
sep 24 22:36:54 *	gutts est parti ("Chan sur le mode console et tty : #tty-fr du serveur freenode ;p")
sep 24 22:37:23 *	rafailowski_ est parti (Read error: 104 (Connection reset by peer))
sep 24 22:41:04 *	rafailowski_ (n=rafailow@vau75-8-82-239-203-15.fbx.proxad.net) a rejoint #debian-fr
sep 24 22:49:06 <michael_>	hop
sep 24 22:49:09 *	michael_ est parti ("Yeahhhhhhhhhhhhh JAMAIS")
sep 24 22:56:44 *	yoan est parti ()
sep 24 23:01:45 *	chat_ (i=chat@c80-216-143-70.bredband.comhem.se) a rejoint #debian-fr
sep 24 23:02:17 <chat_>	salut
sep 24 23:02:29 <yom>	salut
sep 24 23:02:35 *	yom touche chat
sep 24 23:02:37 <yom>	chat !
sep 24 23:02:56 *	maker (n=chatzill@84.205.134.223) a rejoint #debian-fr
sep 24 23:03:01 <maker>	salut
sep 24 23:03:10 <ptitlouis>	salut window
sep 24 23:03:12 *	yom touche maker 
sep 24 23:03:15 <yom>	maker !
sep 24 23:03:39 *	maker (n=chatzill@84.205.134.223) a quitté #debian-fr
sep 24 23:04:13 <yom>	mauvais joueur.
sep 24 23:04:20 <VaLouille>	e17 ca bug de plus en plus :x
sep 24 23:04:36 <yom>	VaLouille: c'est redondant ce que tu dis
sep 24 23:05:09 *	keulin (n=cray@ifth-pdcr2.infotheme.fr) a rejoint #debian-fr
sep 24 23:09:54 *	yoan (n=yoan@AClermont-Ferrand-257-1-80-131.w90-52.abo.wanadoo.fr) a rejoint #debian-fr
sep 24 23:12:03 *	metalspy est parti ("Lost terminal")
sep 24 23:13:29 *	metalspy (n=metalspy@187.113-224-89.dsl.completel.net) a rejoint #debian-fr
**** DÉBUT DU JOURNAL À Tue Sep 25 19:32:06 2007

sep 25 19:32:06 *	Vous parlez maintenant sur #debian-fr
sep 25 19:32:06 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, ni d'entraide, si t'as besoin d'aide, demande à ta maman, sinon #debian-fr@oftc ou #debianfr || Merci de parler correctement francais : pas de sms, lol et autres kikoo.
sep 25 19:32:06 *	Sujet de #debian-fr défini par kolter le Fri Sep 14 21:05:57 2007
sep 25 19:34:28 *	ThArGos (n=thargos@thargos.rdm-team.com) a rejoint #debian-fr
sep 25 19:36:31 *	gutts (n=gutts@ALyon-252-1-53-12.w83-197.abo.wanadoo.fr) a rejoint #debian-fr
sep 25 19:49:42 *	kutio (n=kutio@vig38-1-82-67-76-10.fbx.proxad.net) a rejoint #debian-fr
sep 25 19:52:01 *	taico (n=nicolas@77.204.10.20) a rejoint #debian-fr
sep 25 19:54:58 *	yoan est parti ()
sep 25 20:07:25 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
sep 25 20:07:43 <TrueDD>	Salut à tous
sep 25 20:08:19 *	mi-cha-el (n=Michael@87.100.53.162) a rejoint #debian-fr
sep 25 20:08:35 <mi-cha-el>	Bonsoir --all
sep 25 20:10:50 *	JulHer est parti ("Abandonando")
sep 25 20:11:21 *	ooops (i=ooops@LPuteaux-151-43-25-100.w193-252.abo.wanadoo.fr) a rejoint #debian-fr
sep 25 20:11:46 <ooops>	salut a tous
sep 25 20:11:57 <ooops>	il y a du monde
sep 25 20:12:51 <Gniarf>	choli http://linuxfr.org/comments/869620,1.html il s'est bien acclimaté
sep 25 20:13:06 <ooops>	j ai une question je voudrai mettre a jour mon noyau
sep 25 20:13:20 <snz>	ooops: salut
sep 25 20:13:22 <ooops>	quel est le dernier noyau sorti
sep 25 20:13:27 <ooops>	salut snz
sep 25 20:13:28 <snz>	ooops: j'ai une question, as-tu lu le topic ?
sep 25 20:13:47 *	skull (n=skull@77.202.195.83) a rejoint #debian-fr
sep 25 20:13:59 <reg>	ooops: 4.1
sep 25 20:14:20 <ooops>	merci
sep 25 20:15:02 <ooops>	et tu es toujour en sarge
sep 25 20:15:34 <ooops>	ou tu as la Etch
sep 25 20:16:57 <reg>	attends, je m'upgrade
sep 25 20:17:05 <ooops>	ok
sep 25 20:17:42 <ooops>	j ai installer un sarge mais j ai probleme avec aptitude
sep 25 20:18:28 <reg>	ooops: je suis sidéré
sep 25 20:18:38 <ooops>	de quoi
sep 25 20:19:00 <reg>	ooops: par exemple ?
sep 25 20:19:28 *	Gimliiii est parti (Remote closed the connection)
sep 25 20:19:50 <ooops>	j ai fait uname a il repond 2.4.27
sep 25 20:20:54 <ooops>	donc j ai fait une recherche aptitude search kernel noyau
sep 25 20:21:21 <ooops>	et la j ai pas les  meme reponses
sep 25 20:22:35 <ooops>	j ai meme pas de server graphique je suis en commande
sep 25 20:22:43 <ptitlouis>	et ?
sep 25 20:23:16 <ooops>	il y a un gros probleme il veut pas me mettre a jour
sep 25 20:23:56 <Gniarf>	le méchant
sep 25 20:24:02 <Gniarf>	porte plainte !
sep 25 20:24:51 <ptitlouis>	ooops: lis donc le topic
sep 25 20:25:47 *	Theos (n=micky@df01t2-212-194-217-36.d4.club-internet.fr) a rejoint #debian-fr
sep 25 20:26:20 <reg>	ooops: c'est ptitlouis le responsable mondial des noyaux, vois direct avec lui
sep 25 20:26:33 <jaroug>	Gniarf: haha
sep 25 20:27:41 <ooops>	ok je voix pourquoi debian et le 1er systeme exploitation au monde lol
sep 25 20:27:41 *	kikoolol a expulsé ooops de #debian-fr (go reroll pve noob)
sep 25 20:27:59 *	ooops (i=ooops@LPuteaux-151-43-25-100.w193-252.abo.wanadoo.fr) a rejoint #debian-fr
sep 25 20:28:08 <ooops>	ok je voix pourquoi debian et le 1er systeme exploitation au monde lol
sep 25 20:28:08 *	kikoolol a expulsé ooops de #debian-fr (ptite bite)
sep 25 20:29:56 *	Gimliiii (i=rrtt@gateway/tor/x-95b4860b67eca979) a rejoint #debian-fr
sep 25 20:30:08 <ptitlouis>	lol
sep 25 20:30:38 *	skull est parti ("Leaving")
sep 25 20:40:19 *	DHX (n=DHX@212.180.35.58) a rejoint #debian-fr
sep 25 20:40:19 <kikoolol>	DHX is 100% lame, be aware this person might be boring and should be kicked
sep 25 20:40:41 *	taico (n=nicolas@77.204.10.20) a quitté #debian-fr
sep 25 20:41:23 <DHX>	^^ sympa la fct anti proxy
sep 25 20:42:06 <ptitlouis>	s/proxy/boulet/
sep 25 20:44:13 *	kutio est parti ("Quitte")
sep 25 20:45:21 <DHX>	ptitlouis, je teste de chez moi parce que de mon école je peux pas venir sur irc. jai pas trouvé un proxy ou ça passait. du coup je testai ac un tunnel ssh vers mon serveur puis proxy
sep 25 20:45:33 <DHX>	mais ça marchait tj pas
sep 25 20:45:35 <DHX>	la je suis revenu chez moi dc je teste
sep 25 20:45:40 <DHX>	et ça marche dc je pige pas
sep 25 20:46:44 <Gniarf>	je crois qu'il s'en fout
sep 25 20:47:12 <DHX>	on dirait, mais "[20:42]  <ptitlouis> s/proxy/boulet/" <-- ça pour le coup c'est pas tres malin comme reflexion
sep 25 20:47:37 <DHX>	enfin bon ..
sep 25 20:47:42 <Gniarf>	si si
sep 25 20:48:06 <DHX>	Gniarf pourquoi donc ?
sep 25 20:49:13 *	yoan (n=yoan@82.65.9.107) a rejoint #debian-fr
sep 25 20:50:09 <DHX>	il me semblait bien ...
sep 25 20:50:30 <Gniarf>	je vois
sep 25 20:50:40 *	cadenboy (n=Forni@d83-179-199-58.cust.tele2.fr) a rejoint #debian-fr
sep 25 20:50:49 *	ChanServ donne l'état d'opérateur de canal à Gniarf
sep 25 20:50:54 *	Gniarf met un ban sur *!*@212.180.35.58
sep 25 20:51:00 *	Gniarf a expulsé DHX de #debian-fr (tu sors, merci.)
sep 25 20:51:24 <cadenboy>	bonjour
sep 25 20:52:23 *	gutts est parti (Read error: 104 (Connection reset by peer))
sep 25 20:53:11 *	Theos_ (n=micky@df01t2-212-195-194-207.d4.club-internet.fr) a rejoint #debian-fr
sep 25 20:59:55 *	mi-cha-el est parti ("</irc>")
sep 25 21:00:21 *	Gniarf supprime l'état de bannissement de *!*@212.180.35.58
sep 25 21:01:00 *	cadenboy (n=Forni@d83-179-199-58.cust.tele2.fr) a quitté #debian-fr
sep 25 21:07:10 *	Gimliiii est parti (Read error: 104 (Connection reset by peer))
sep 25 21:10:01 *	Theos est parti (Read error: 110 (Connection timed out))
sep 25 21:13:16 *	Rimaille (n=remy@fon69-2-82-245-109-74.fbx.proxad.net) a rejoint #debian-fr
sep 25 21:13:25 <Rimaille>	b'soir tout le monde!
sep 25 21:14:16 <ptitlouis>	ou pas
sep 25 21:14:40 <VaLouille>	ou pas
sep 25 21:18:24 *	Gimliiii (i=rrtt@gateway/tor/x-5c7c4baf873e38a8) a rejoint #debian-fr
sep 25 21:25:35 *	yoan est parti ()
sep 25 21:33:52 *	bonzai est parti (Remote closed the connection)
sep 25 21:37:22 *	bonzai (i=chat@c80-216-143-70.bredband.comhem.se) a rejoint #debian-fr
sep 25 21:37:35 *	ThArGos est parti ("Quitte")
sep 25 21:40:00 *	ooops (i=ooops@LPuteaux-151-43-25-100.w193-252.abo.wanadoo.fr) a rejoint #debian-fr
sep 25 21:40:07 <ooops>	ok je voix pourquoi debian et le 1er systeme exploitation au monde lol
sep 25 21:40:08 *	kikoolol a expulsé ooops de #debian-fr (Shut up !)
sep 25 21:40:39 <ptitlouis>	…
sep 25 21:42:42 *	Gniarf met un ban sur %ooops!*@*
sep 25 21:42:47 <Gniarf>	oops.
sep 25 21:59:24 *	jnjb (n=nico@dyn-83-157-61-34.ppp.tiscali.fr) a rejoint #debian-fr
sep 25 22:02:08 *	JuLiiieN (n=jul@AVelizy-152-1-3-236.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
sep 25 22:03:17 *	Theos__ (n=micky@df01t2-213-44-166-103.d4.club-internet.fr) a rejoint #debian-fr
sep 25 22:09:30 <jnjb>	salut
sep 25 22:16:01 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
sep 25 22:16:43 <pikapika>	yo
sep 25 22:16:53 <ptitlouis>	ou pas
sep 25 22:18:54 <pikapika>	hmm
sep 25 22:19:11 *	Theos_ est parti (Read error: 110 (Connection timed out))
sep 25 22:20:10 <mickey08>	hop
sep 25 22:20:11 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
sep 25 22:24:52 *	Theos__ est parti ("Ex-Chat")
sep 25 22:30:17 *	Laifen est parti ("Parti")
sep 25 22:31:15 *	Rimaille est parti ("Ex-Chat")
sep 25 22:33:48 *	ylrahc (n=charly@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
sep 25 22:40:15 *	JuLiiieN est parti ("Quitte")
sep 25 22:40:16 *	IzuliuM est parti ("Leaving")
sep 25 22:41:49 *	ylrahc est parti (Remote closed the connection)
sep 25 22:42:49 *	Sano est parti (Remote closed the connection)
sep 25 22:46:55 *	twk (n=twk@82.67.74.244) a rejoint #debian-fr
sep 25 23:08:26 *	twk est parti ("Leaving")
**** FIN DU JOURNAL À Tue Sep 25 23:09:08 2007

**** DÉBUT DU JOURNAL À Wed Sep 26 20:30:03 2007

sep 26 20:30:03 *	Vous parlez maintenant sur #debian-fr
sep 26 20:30:03 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, ni d'entraide, si t'as besoin d'aide, demande à ta maman, sinon #debian-fr@oftc ou #debianfr || Merci de parler correctement francais : pas de sms, lol et autres kikoo.
